Input File: BinPacking_1000.txt Bin Capacity: 1000 algorithm type: Best Fit # of Bin: 61 Time: 138ms
579, 73
580, 31
581, 89
584, 56
589, 15
596, 16
685, 10
Bin #30: 17, 999
582, 91
583, 88
586, 100
587, 92
588, 75
590, 38
591, 67
592, 95
593, 44
594, 76
595, 39
597, 20
598, 46
599, 59
600, 37
615, 22
697, 10
Bin #31: 16, 998
601, 39
602, 87
603, 93
604, 76
605, 102
606, 60
607, 68
608, 107
609, 53
610, 72
611, 75
612, 47
613, 63
618, 20
620, 19
643, 17
Bin #32: 17, 998
614, 105
616, 105
617, 67
619, 104
621, 70
622, 52
623, 32
624, 88
625, 46
626, 66
627, 97
628, 58
629, 12
630, 38
631, 22
634, 21
669, 15
Bin #33: 18, 1000
632, 99
633, 72
635, 12
636, 46
637, 63
638, 46
639, 65
640, 41
641, 22
642, 101
644, 35
645, 50
646, 49
647, 32
648, 68
649, 87
650, 99
717, 13
Bin #34: 16, 996
651, 100
652, 74
653, 39
654, 105
655, 50
656, 18
657, 83
658, 21
659, 51
660, 80
661, 57
662, 61
663, 99
664, 34
665, 48
666, 76
Bin #35: 17, 999
667, 59
668, 39
670, 96
671, 83
672, 27
673, 87
674, 36
675, 53
676, 55
677, 16
678, 108
679, 85
680, 63
681, 55
682, 18
683, 46
684, 73
Bin #36: 16, 997
686, 104
687, 52
688, 78
689, 35
690, 109
691, 89
692, 98
693, 102
694, 84
695, 22
696, 74
698, 26
699, 35
700, 52
701, 18
703, 19
Bin #37: 21, 997
702, 16
704, 29
705, 41
706, 35
707, 86
708, 76
709, 34
710, 17
711, 64
712, 22
713, 88
714, 73
715, 26
716, 33
718, 30
719, 36
720, 30
721, 57
722, 98
723, 90
750, 16
Bin #38: 20, 999
724, 11
725, 27
726, 46
727, 87
728, 37
729, 86
730, 109
731, 48
732, 104
733, 30
734, 55
735, 26
736, 38
737, 40
738, 41
739, 88
740, 13
741, 82
749, 21
767, 10
Bin #39: 15, 997
742, 89
743, 78
744, 55
745, 80
746, 84
747, 78
748, 109
751, 21
752, 70
753, 26
754, 107
755, 89
756, 21
757, 79
780, 11
Bin #40: 20, 999
758, 45
759, 37
760, 98
761, 37
762, 17
763, 16
764, 80
765, 44
766, 82
768, 72
769, 56
770, 19
771, 62
772, 78
773, 39
774, 68
775, 38
776, 42
778, 50
789, 19
Bin #41: 20, 999
777, 90
779, 41
781, 38
782, 57
783, 45
784, 42
785, 35
786, 77
787, 50
788, 70
790, 42
791, 27
792, 35
793, 88
794, 40
795, 80
796, 67
798, 38
799, 26
862, 11
Bin #42: 16, 1000
797, 79
800, 74
801, 96
802, 45
803, 36
804, 20
805, 74
806, 90
807, 16
808, 78
809, 72
810, 92
811, 31
812, 102
813, 52
814, 43
Bin #43: 14, 996
815, 82
816, 109
817, 17
818, 55
819, 77
820, 32
821, 82
822, 102
823, 84
824, 79
825, 91
826, 47
827, 109
830, 30
Bin #44: 14, 1000
828, 95
829, 65
831, 82
832, 87
833, 63
834, 96
835, 83
836, 71
837, 102
838, 53
839, 13
840, 95
841, 79
863, 16
Bin #45: 16, 1000
842, 36
843, 74
844, 57
845, 108
846, 101
847, 91
848, 24
849, 75
850, 73
851, 21
852, 79
853, 109
854, 76
855, 47
873, 13
885, 16
Bin #46: 15, 1000
856, 100
857, 43
858, 103
859, 44
860, 46
861, 78
864, 106
865, 59
866, 56
867, 56
868, 96
869, 70
870, 102
882, 19
953, 22
Bin #47: 17, 999
871, 73
872, 49
874, 46
875, 82
876, 65
877, 101
878, 73
879, 70
880, 81
881, 65
883, 60
884, 103
886, 56
891, 40
894, 15
955, 10
995, 10
Bin #48: 18, 998
887, 99
888, 70
889, 108
890, 95
892, 29
893, 59
895, 83
896, 103
897, 24
898, 12
899, 53
900, 13
901, 76
902, 88
903, 29
905, 35
924, 12
1043, 10
Bin #49: 17, 998
904, 103
906, 25
907, 36
908, 27
909, 79
910, 53
911, 73
912, 109
913, 73
914, 27
915, 35
916, 64
917, 83
918, 101
919, 45
925, 50
951, 15
Bin #50: 13, 1000
920, 108
921, 90
922, 85
923, 82
926, 43
927, 77
928, 101
929, 65
930, 70
931, 100
932, 100
933, 45
942, 34
Bin #51: 17, 997
934, 29
935, 97
936, 70
937, 47
938, 28
939, 70
940, 83
941, 97
943, 102
944, 43
945, 36
946, 108
947, 76
948, 35
954, 50
969, 16
1046, 10
Bin #52: 15, 997
949, 71
950, 88
952, 83
956, 83
957, 23
958, 88
959, 86
960, 40
961, 66
962, 46
963, 88
964, 86
965, 66
967, 37
968, 46
Bin #53: 14, 998
966, 89
970, 72
971, 46
972, 105
973, 93
974, 103
975, 82
976, 16
977, 91
978, 89
979, 25
980, 52
981, 73
983, 62
Bin #54: 18, 996
982, 54
984, 79
985, 58
986, 108
987, 28
988, 54
989, 93
990, 82
991, 56
992, 60
993, 15
994, 42
996, 78
997, 87
998, 15
999, 40
1000, 28
1038, 19
Bin #55: 17, 997
1001, 49
1002, 102
1003, 91
1004, 16
1005, 28
1006, 56
1007, 65
1008, 93
1009, 37
1010, 93
1011, 31
1012, 26
1013, 72
1014, 70
1015, 102
1018, 45
1054, 21
Bin #56: 14, 998
1016, 92
1017, 63
1019, 74
1020, 80
1021, 89
1022, 72
1023, 65
1024, 47
1025, 101
1026, 77
1027, 14
1028, 61
1029, 66
1030, 97
Bin #57: 20, 999
1031, 34
1032, 87
1033, 37
1034, 64
1035, 38
1036, 26
1037, 30
1039, 75
1040, 108
1041, 16
1042, 82
1044, 87
1045, 31
1047, 67
1048, 18
1049, 66
1050, 76
1060, 31
1069, 11
1077, 15
Bin #58: 14, 999
1051, 48
1052, 103
1053, 103
1055, 96
1056, 97
1057, 67
1058, 86
1059, 50
1061, 20
1062, 70
1063, 47
1064, 45
1065, 92
1067, 75
Bin #59: 16, 998
1066, 96
1068, 62
1070, 56
1071, 84
1072, 91
1073, 63
1074, 72
1075, 73
1076, 77
1078, 30
1079, 66
1080, 92
1081, 10
1082, 69
1091, 35
1097, 22
Bin #60: 13, 917
1083, 66
1084, 92
1085, 100
1086, 50
1087, 88
1088, 78
1089, 81
1090, 86
1092, 30
1093, 91
1094, 69
1095, 72
1099, 14
Bin #61: 3, 288
1096, 88
1098, 109
1100, 91
