Input File: BinPacking_1000.txt Bin Capacity: 1000 algorithm type: First Fit Decreasing, Last Two Fit # of Bin: 61 Time: 36196ms
Bin #43: 16, 1000
929, 65
711, 64
313, 64
916, 64
436, 64
1034, 64
386, 63
637, 63
535, 63
613, 63
833, 63
1017, 63
287, 63
680, 63
1073, 63
731, 48
Bin #44: 17, 1000
446, 62
771, 62
983, 62
401, 62
160, 62
372, 62
140, 62
1068, 62
396, 61
177, 61
385, 61
144, 61
578, 61
1028, 61
141, 61
469, 61
702, 16
Bin #45: 17, 1000
662, 61
143, 60
527, 60
483, 60
510, 60
992, 60
883, 60
893, 59
462, 59
392, 59
404, 59
667, 59
151, 59
599, 59
865, 59
514, 58
1001, 49
Bin #46: 18, 1000
628, 58
985, 58
216, 58
521, 58
410, 58
323, 58
572, 58
215, 58
721, 57
189, 57
299, 57
182, 57
285, 57
561, 57
661, 57
105, 57
526, 57
484, 23
Bin #47: 18, 1000
782, 57
844, 57
492, 57
235, 57
202, 56
769, 56
1006, 56
301, 56
584, 56
490, 56
255, 56
991, 56
147, 56
886, 56
867, 56
1070, 56
866, 56
174, 44
Bin #48: 19, 1000
387, 56
734, 55
252, 55
744, 55
681, 55
516, 55
201, 55
818, 55
676, 55
982, 54
154, 54
574, 54
400, 54
838, 53
428, 53
454, 53
181, 53
609, 53
957, 23
Bin #49: 20, 1000
899, 53
544, 53
675, 53
910, 53
553, 53
813, 52
700, 52
687, 52
622, 52
226, 52
509, 52
495, 52
119, 52
659, 51
166, 51
186, 51
234, 51
229, 50
403, 50
993, 15
Bin #50: 21, 1000
1059, 50
787, 50
954, 50
500, 50
925, 50
778, 50
485, 50
1086, 50
655, 50
645, 50
548, 49
316, 49
872, 49
646, 49
550, 48
1051, 48
342, 48
169, 48
536, 48
565, 48
188, 16
Bin #51: 22, 1000
165, 47
364, 47
451, 47
106, 47
1024, 47
937, 47
612, 47
855, 47
1063, 47
826, 47
569, 47
497, 46
450, 46
968, 46
447, 46
860, 46
962, 46
971, 46
598, 46
726, 46
636, 46
502, 23
Bin #52: 23, 1000
638, 46
683, 46
625, 46
874, 46
179, 46
783, 45
1018, 45
557, 45
919, 45
758, 45
933, 45
1064, 45
802, 45
765, 44
317, 44
309, 44
859, 44
593, 44
195, 44
125, 44
121, 44
176, 44
1099, 14
Bin #53: 24, 1000
102, 44
944, 43
135, 43
162, 43
467, 43
440, 43
541, 43
814, 43
857, 43
325, 43
926, 43
994, 42
790, 42
293, 42
373, 42
784, 42
554, 42
776, 42
365, 42
310, 42
564, 42
549, 42
159, 41
278, 23
Bin #54: 25, 1000
640, 41
705, 41
194, 41
779, 41
142, 41
361, 41
738, 41
378, 41
170, 40
794, 40
999, 40
108, 40
352, 40
960, 40
297, 40
238, 40
737, 40
891, 40
394, 40
205, 39
595, 39
331, 39
653, 39
668, 39
759, 37
Bin #55: 27, 1000
773, 39
601, 39
214, 38
1035, 38
175, 38
590, 38
775, 38
537, 38
463, 38
736, 38
798, 38
630, 38
781, 38
577, 38
761, 37
1033, 37
1009, 37
967, 37
600, 37
503, 37
728, 37
338, 36
842, 36
907, 36
803, 36
674, 36
203, 27
Bin #56: 30, 1000
945, 36
134, 36
719, 36
506, 36
905, 35
689, 35
792, 35
706, 35
699, 35
368, 35
785, 35
1091, 35
644, 35
948, 35
709, 34
250, 34
248, 34
664, 34
942, 34
260, 34
103, 34
375, 33
132, 33
820, 32
538, 32
459, 32
475, 32
623, 32
137, 32
697, 10
Bin #57: 34, 1000
525, 32
647, 32
168, 32
1011, 31
580, 31
124, 31
1045, 31
556, 31
266, 31
1060, 31
811, 31
453, 31
369, 31
271, 30
444, 30
199, 30
1037, 30
733, 30
1078, 30
830, 30
1092, 30
281, 30
718, 30
720, 30
903, 29
488, 29
704, 29
406, 29
892, 29
461, 29
934, 29
267, 29
641, 22
767, 10
Bin #58: 38, 1000
938, 28
987, 28
221, 28
1005, 28
157, 28
210, 28
412, 28
530, 28
354, 28
